ControlSet	CacheEntryPosition	Path	LastModifiedTimeUTC	Executed
1	106	"00000009	000b001303340000	000a000038390000	8664	Microsoft.SkypeApp	kzf8qxf38zg5c	"	1601-01-01 00:00:00	NA
1	107	"00000009	00112031a13b0000	000a00003aa90000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	108	"00000009	001120aee10b0000	000a00003aa90000	8664	Microsoft.Office.OneNote	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	109	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\Temp\633965268\AdobeARMHelper.exe	2017-02-03 03:21:46	NA
1	110	C:\Users\ROCKHA~1\AppData\Local\Temp\92480129-877F-46F2-903A-90C55CAD36AD\dismhost.exe	2017-03-18 11:40:21	NA
1	111	C:\Users\Rock Hammerfist\AppData\Local\Temp\92480129-877F-46F2-903A-90C55CAD36AD\DismHost.exe	2017-03-18 11:40:21	NA
1	112	C:\Program Files\WindowsApps\Microsoft.XboxGameOverlay_1.19.11001.0_x64__8wekyb3d8bbwe\Application	2017-07-17 12:31:28	NA
1	113	"00000009	000100132af90000	000a00003f520000	8664	Microsoft.XboxGameOverlay	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	114	C:\Windows\System32\Speech_OneCore\Common\SpeechRuntime.exe	2017-03-18 20:58:18	NA
1	115	C:\Windows\Installer\MSI8E3B.tmp	2017-07-14 19:37:33	NA
1	116	C:\Program Files (x86)\Adobe\Reader 11.0\Reader\Reader_sl.exe	2014-12-03 06:31:24	NA
1	117	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\Temp\295458732\AdobeARMHelper.exe	2014-12-03 06:31:16	NA
1	118	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe	2017-04-25 13:12:12	NA
1	119	C:\Windows\SysWOW64\runonce.exe	2017-03-18 20:58:56	NA
1	120	"00000000	0001005d05780000	000a000028000000	8664	king.com.CandyCrushSodaSaga	kgqvnymyfvs32	"	1601-01-01 00:00:00	NA
